"","muID","time","timeup","module","round","prelimGain","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage.1","step","round.1","timestamp","session","room","round_number","complete_rooms_module2","cheat","report.rate","age","gender","politics","trust","DictGive","role","other","diceNumber","numberEntered","risk1","risk2","risk3","risk4","risk5","risk6","risk7","risk8","risk9","risk10","integrity1","integrity2","integrity3","integrity4","integrity5","integrity6","integrity7","integrity8","integrity9","integrity10","auditRate","audited","treat","taxBracket","report.rate.cess.panel","sample","risk.pref","total.integrity"
"21","AU0ODT5AE89UXFBM3L2Nroom_1517335306260","12958","false","Module2","7",2400,1972.65,16,2400,"false",720,1680,30,"true","AU0ODT5AE89UXFBM3L2N","[objectObject]","[objectObject]",NA,"7","1517336293438","./data//session.feb/room_1517335306260/memory_Module2_6.3.7.csv","room_1517335306260",7,TRUE,0,1,NA,NA,NA,NA,"500","B","AU1I24FYT6VKMGOUD0JR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"false",2,1,1,"CESS Online Panel - DS",0,0
"22","AU0ODT5AE89UXFBM3L2Nroom_1517335306260","5935","false","Module2","8",1950,1623.825,13,1950,"false",585,1365,30,"true","AU0ODT5AE89UXFBM3L2N","[objectObject]","[objectObject]",NA,"8","1517336370107","./data//session.feb/room_1517335306260/memory_Module2_6.3.8.csv","room_1517335306260",8,TRUE,0,1,NA,NA,NA,NA,"500","B","AU1I24FYT6VKMGOUD0JR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"false",2,1,1,"CESS Online Panel - DS",0,0
"23","AU0Y4GIMQO8VT1SR2BF3room_1512491931824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"500","A","AU1PY72VN5CIW9EXAJRF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,NA,NA,"CESS Online Panel - DS",0,0
"24","AU15B2A7CMUOLZ3EI4V6room_1514996326662","4340","false","Module2","10",1350,1381.5,9,680,"false",68,1282,10,"true","AU15B2A7CMUOLZ3EI4V6","[objectObject]","[objectObject]",NA,"10","1514997720380","./data//session.jan.03/room_1514996326662/memory_Module2_6.3.10.csv","room_1514996326662",10,TRUE,1,0.503703703703704,"38","M","4","B","800","B","AU2TQ1FYLMRBD347I80H","4","4",0,1,1,1,0,1,0,1,1,0,1,3,3,3,3,1,1,1,1,3,0.1,"false",1,3,0.503703703703704,"CESS Online Panel - DS",6,20
"25","AU15B2A7CMUOLZ3EI4V6room_1514996326662","8025","false","Module2","1",1050,1046.25,7,700,"false",70,980,10,"true","AU15B2A7CMUOLZ3EI4V6","[objectObject]","[objectObject]",NA,"1","1514996876693","./data//session.jan.03/room_1514996326662/memory_Module2_6.3.1.csv","room_1514996326662",1,TRUE,1,0.666666666666667,"38","M","4","B","800","B","AU2TQ1FYLMRBD347I80H","4","4",0,1,1,1,0,1,0,1,1,0,1,3,3,3,3,1,1,1,1,3,0.1,"false",1,3,0.666666666666667,"CESS Online Panel - DS",6,20
"26","AU15B2A7CMUOLZ3EI4V6room_1514996326662","12847","false","Module2","3",1050,1061.25,7,700,"false",70,980,10,"true","AU15B2A7CMUOLZ3EI4V6","[objectObject]","[objectObject]",NA,"3","1514997100446","./data//session.jan.03/room_1514996326662/memory_Module2_6.3.3.csv","room_1514996326662",3,TRUE,1,0.666666666666667,"38","M","4","B","800","B","AU2TQ1FYLMRBD347I80H","4","4",0,1,1,1,0,1,0,1,1,0,1,3,3,3,3,1,1,1,1,3,0.1,"false",1,3,0.666666666666667,"CESS Online Panel - DS",6,20
"27","AU15B2A7CMUOLZ3EI4V6room_1514996326662","1901","false","Module2","7",1500,1518.75,10,750,"false",75,1425,10,"true","AU15B2A7CMUOLZ3EI4V6","[objectObject]","[objectObject]",NA,"7","1514997425066","./data//session.jan.03/room_1514996326662/memory_Module2_6.3.7.csv","room_1514996326662",7,TRUE,1,0.5,"38","M","4","B","800","B","AU2TQ1FYLMRBD347I80H","4","4",0,1,1,1,0,1,0,1,1,0,1,3,3,3,3,1,1,1,1,3,0.1,"false",1,3,0.5,"CESS Online Panel - DS",6,20
"28","AU15B2A7CMUOLZ3EI4V6room_1514996326662","5759","false","Module2","6",1200,1231.125,8,685,"false",68.5,1131.5,10,"true","AU15B2A7CMUOLZ3EI4V6","[objectObject]","[objectObject]",NA,"6","1514997351376","./data//session.jan.03/room_1514996326662/memory_Module2_6.3.6.csv","room_1514996326662",6,TRUE,1,0.570833333333333,"38","M","4","B","800","B","AU2TQ1FYLMRBD347I80H","4","4",0,1,1,1,0,1,0,1,1,0,1,3,3,3,3,1,1,1,1,3,0.1,"false",1,3,0.570833333333333,"CESS Online Panel - DS",6,20
"29","AU15B2A7CMUOLZ3EI4V6room_1514996326662","3465","false","Module2","8",1500,1530,10,700,"false",70,1430,10,"true","AU15B2A7CMUOLZ3EI4V6","[objectObject]","[objectObject]",NA,"8","1514997530570","./data//session.jan.03/room_1514996326662/memory_Module2_6.3.8.csv","room_1514996326662",8,TRUE,1,0.466666666666667,"38","M","4","B","800","B","AU2TQ1FYLMRBD347I80H","4","4",0,1,1,1,0,1,0,1,1,0,1,3,3,3,3,1,1,1,1,3,0.1,"false",1,3,0.466666666666667,"CESS Online Panel - DS",6,20
"30","AU15B2A7CMUOLZ3EI4V6room_1514996326662","7641","false","Module2","5",1050,1074,7,680,"false",68,982,10,"true","AU15B2A7CMUOLZ3EI4V6","[objectObject]","[objectObject]",NA,"5","1514997269241","./data//session.jan.03/room_1514996326662/memory_Module2_6.3.5.csv","room_1514996326662",5,TRUE,1,0.647619047619048,"38","M","4","B","800","B","AU2TQ1FYLMRBD347I80H","4","4",0,1,1,1,0,1,0,1,1,0,1,3,3,3,3,1,1,1,1,3,0.1,"false",1,3,0.647619047619048,"CESS Online Panel - DS",6,20
