Duration (in seconds),RecordedDate,consent,gender,gender_other,yob,Q510_1,Q511_1,Q512_1,Q513_1
1045,2019-04-07T21:54:33Z,"Yes, I have read and understood the rules.",Male,NA,1989,NA,NA,3,NA
763,2019-04-07T21:54:42Z,"Yes, I have read and understood the rules.",Female,NA,1981,NA,NA,NA,5
1078,2019-04-07T21:55:05Z,"Yes, I have read and understood the rules.",Male,NA,2000,5,NA,NA,NA
757,2019-04-07T21:55:22Z,"Yes, I have read and understood the rules.",Male,NA,1997,NA,NA,7,NA
875,2019-04-07T21:55:40Z,"Yes, I have read and understood the rules.",Male,NA,1992,NA,NA,NA,6
544,2019-04-07T21:56:03Z,"Yes, I have read and understood the rules.",Female,NA,1999,5,NA,NA,NA
474,2019-04-07T21:56:48Z,"Yes, I have read and understood the rules.",Male,NA,1997,NA,10,NA,NA
548,2019-04-07T21:57:03Z,"Yes, I have read and understood the rules.",Male,NA,1986,NA,NA,NA,2
1172,2019-04-07T21:57:17Z,"Yes, I have read and understood the rules.",Male,NA,1992,8,NA,NA,NA
702,2019-04-07T21:57:30Z,"Yes, I have read and understood the rules.",Male,NA,1993,NA,3,NA,NA
1076,2019-04-07T21:57:31Z,"Yes, I have read and understood the rules.",Male,NA,1991,NA,NA,8,NA
533,2019-04-07T21:57:39Z,"Yes, I have read and understood the rules.",Male,NA,1996,7,NA,NA,NA
1065,2019-04-07T21:57:51Z,"Yes, I have read and understood the rules.",Male,NA,1989,NA,NA,NA,3
1308,2019-04-07T21:57:53Z,"Yes, I have read and understood the rules.",Male,NA,1983,9,NA,NA,NA
803,2019-04-07T21:57:59Z,"Yes, I have read and understood the rules.",Male,NA,1984,NA,NA,5,NA
675,2019-04-07T21:58:25Z,"Yes, I have read and understood the rules.",Male,NA,1985,NA,NA,NA,7
623,2019-04-07T21:58:37Z,"Yes, I have read and understood the rules.",Male,NA,1971,NA,NA,10,NA
169297,2019-04-07T21:59:01Z,"Yes, I have read and understood the rules.",Male,NA,1956,NA,2,NA,NA
567,2019-04-07T21:59:02Z,"Yes, I have read and understood the rules.",Female,NA,1996,NA,10,NA,NA
1120,2019-04-07T21:59:38Z,"Yes, I have read and understood the rules.",Male,NA,1988,NA,2,NA,NA
987,2019-04-07T21:59:41Z,"Yes, I have read and understood the rules.",Male,NA,1984,8,NA,NA,NA
744,2019-04-07T22:00:06Z,"Yes, I have read and understood the rules.",Male,NA,1963,NA,NA,6,NA
673,2019-04-07T22:00:42Z,"Yes, I have read and understood the rules.",Female,NA,1997,NA,7,NA,NA
1326,2019-04-07T22:00:52Z,"Yes, I have read and understood the rules.",Male,NA,1994,NA,NA,NA,6
672,2019-04-07T22:01:23Z,"Yes, I have read and understood the rules.",Female,NA,1996,7,NA,NA,NA
720,2019-04-07T22:01:44Z,"Yes, I have read and understood the rules.",Male,NA,1999,NA,1,NA,NA
1383,2019-04-07T22:01:50Z,"Yes, I have read and understood the rules.",Female,NA,2000,NA,NA,6,NA
1429,2019-04-07T22:01:55Z,"Yes, I have read and understood the rules.",Male,NA,1999,NA,NA,4,NA
1522,2019-04-07T22:02:21Z,"Yes, I have read and understood the rules.",Male,NA,1990,NA,NA,NA,6
682,2019-04-07T22:03:53Z,"Yes, I have read and understood the rules.",Male,NA,1989,NA,NA,6,NA
1498,2019-04-07T22:04:21Z,"Yes, I have read and understood the rules.",Male,NA,1996,NA,7,NA,NA
356,2019-04-07T22:04:26Z,"Yes, I have read and understood the rules.",Female,NA,1995,7,NA,NA,NA
1182,2019-04-07T22:04:39Z,"Yes, I have read and understood the rules.",Male,NA,1975,NA,NA,10,NA
720,2019-04-07T22:04:50Z,"Yes, I have read and understood the rules.",Male,NA,1996,NA,NA,8,NA
800,2019-04-07T22:06:13Z,"Yes, I have read and understood the rules.",Male,NA,1995,10,NA,NA,NA
650,2019-04-07T22:06:52Z,"Yes, I have read and understood the rules.",Male,NA,1996,NA,NA,NA,2
778,2019-04-07T22:07:10Z,"Yes, I have read and understood the rules.",Male,NA,1988,10,NA,NA,NA
567,2019-04-07T22:08:03Z,"Yes, I have read and understood the rules.",Male,NA,1984,NA,NA,NA,2
1365,2019-04-07T22:08:06Z,"Yes, I have read and understood the rules.",Male,NA,1999,NA,4,NA,NA
721,2019-04-07T22:08:38Z,"Yes, I have read and understood the rules.",Male,NA,1997,10,NA,NA,NA
605,2019-04-07T22:08:45Z,"Yes, I have read and understood the rules.",Male,NA,1997,NA,NA,NA,0
740,2019-04-07T22:09:09Z,"Yes, I have read and understood the rules.",Female,NA,1997,NA,NA,7,NA
580,2019-04-07T22:09:21Z,"Yes, I have read and understood the rules.",Male,NA,2000,10,NA,NA,NA
606,2019-04-07T22:11:03Z,"Yes, I have read and understood the rules.",Male,NA,1997,6,NA,NA,NA
759,2019-04-07T22:11:11Z,"Yes, I have read and understood the rules.",Male,NA,1993,NA,1,NA,NA
2155,2019-04-07T22:12:15Z,"Yes, I have read and understood the rules.",Female,NA,1990,NA,NA,NA,6
360,2019-04-07T22:12:15Z,"Yes, I have read and understood the rules.",Female,NA,1998,5,NA,NA,NA
784,2019-04-07T22:12:48Z,"Yes, I have read and understood the rules.",Female,NA,1999,NA,NA,10,NA
847,2019-04-07T22:13:04Z,"Yes, I have read and understood the rules.",Female,NA,1996,6,NA,NA,NA
558,2019-04-07T22:14:27Z,"Yes, I have read and understood the rules.",Male,NA,1979,NA,7,NA,NA
1347,2019-04-07T22:14:34Z,"Yes, I have read and understood the rules.",Male,NA,1998,NA,NA,NA,8
1102,2019-04-07T22:14:51Z,"Yes, I have read and understood the rules.",Female,NA,1984,NA,NA,NA,2
947,2019-04-07T22:15:04Z,"Yes, I have read and understood the rules.",Male,NA,1996,NA,NA,7,NA
627,2019-04-07T22:15:36Z,"Yes, I have read and understood the rules.",Male,NA,1985,8,NA,NA,NA
736,2019-04-07T22:16:30Z,"Yes, I have read and understood the rules.",Male,NA,1963,NA,NA,7,NA
1285,2019-04-07T22:16:40Z,"Yes, I have read and understood the rules.",Female,NA,1991,10,NA,NA,NA
854,2019-04-07T22:17:20Z,"Yes, I have read and understood the rules.",Female,NA,1990,NA,NA,6,NA
1365,2019-04-07T22:17:46Z,"Yes, I have read and understood the rules.",Male,NA,1980,9,NA,NA,NA
849,2019-04-07T22:18:01Z,"Yes, I have read and understood the rules.",Male,NA,1998,NA,NA,8,NA
