"","muID","time","timeup","module","round","prelimGain","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","stage","stage.1","step","round.1","timestamp","session","room","round_number","complete_rooms_module2","cheat","report.rate","age","gender","politics","trust","DictGive","role","other","risk1","risk2","risk3","risk4","risk5","risk6","risk7","risk8","risk9","risk10","integrity1","integrity2","integrity3","integrity4","integrity5","integrity6","integrity7","integrity8","integrity9","integrity10","auditRate","audited","taxBracket","report.rate.lab.online.sync","sample","treat","risk.pref","total.integrity"
"23","AU1GUFTK8EIBCQHSR9ZN","6572","false","Module2","1",2400,2271.5,16,2400,"false",240,2160,10,"true","[objectObject]","[objectObject]",NA,"1","1489613534986","./data//room_1489612930406/memory_Module2_6.3.1.csv","room_1489612930406",1,TRUE,0,1,"23","F","3","B","0","B","AU9PME48Y7CI2DQAUK6R",0,0,0,0,1,1,1,1,1,1,2,1,1,3,3,2,2,1,1,1,0.1,"false",3,1,"Online Sync",1,6,17
"24","AU1GUFTK8EIBCQHSR9ZN","3217","false","Module2","8",2700,2557.5,18,2700,"false",270,2430,10,"true","[objectObject]","[objectObject]",NA,"8","1489614167699","./data//room_1489612930406/memory_Module2_6.3.8.csv","room_1489612930406",8,TRUE,0,1,"23","F","3","B","0","B","AU9PME48Y7CI2DQAUK6R",0,0,0,0,1,1,1,1,1,1,2,1,1,3,3,2,2,1,1,1,0.1,"false",3,1,"Online Sync",1,6,17
"25","AU1GUFTK8EIBCQHSR9ZN","5297","false","Module2","10",2850,2938.125,19,2000,"false",200,2650,10,"true","[objectObject]","[objectObject]",NA,"10","1489614326533","./data//room_1489612930406/memory_Module2_6.3.10.csv","room_1489612930406",10,TRUE,1,0.701754385964912,"23","F","3","B","0","B","AU9PME48Y7CI2DQAUK6R",0,0,0,0,1,1,1,1,1,1,2,1,1,3,3,2,2,1,1,1,0.1,"false",3,0.701754385964912,"Online Sync",1,6,17
"26","AU1GUFTK8EIBCQHSR9ZN","8435","false","Module2","4",3000,3076.875,20,3000,"false",300,2700,10,"true","[objectObject]","[objectObject]",NA,"4","1489613833769","./data//room_1489612930406/memory_Module2_6.3.4.csv","room_1489612930406",4,TRUE,0,1,"23","F","3","B","0","B","AU9PME48Y7CI2DQAUK6R",0,0,0,0,1,1,1,1,1,1,2,1,1,3,3,2,2,1,1,1,0.1,"false",3,1,"Online Sync",1,6,17
"27","AU1GUFTK8EIBCQHSR9ZN","4796","false","Module2","5",3000,2845.5,20,3000,"false",300,2700,10,"true","[objectObject]","[objectObject]",NA,"5","1489613922094","./data//room_1489612930406/memory_Module2_6.3.5.csv","room_1489612930406",5,TRUE,0,1,"23","F","3","B","0","B","AU9PME48Y7CI2DQAUK6R",0,0,0,0,1,1,1,1,1,1,2,1,1,3,3,2,2,1,1,1,0.1,"false",3,1,"Online Sync",1,6,17
"28","AU1GUFTK8EIBCQHSR9ZN","4905","false","Module2","2",2850,2868.75,19,2850,"false",285,2565,10,"true","[objectObject]","[objectObject]",NA,"2","1489613631746","./data//room_1489612930406/memory_Module2_6.3.2.csv","room_1489612930406",2,TRUE,0,1,"23","F","3","B","0","B","AU9PME48Y7CI2DQAUK6R",0,0,0,0,1,1,1,1,1,1,2,1,1,3,3,2,2,1,1,1,0.1,"false",3,1,"Online Sync",1,6,17
"29","AU1GUFTK8EIBCQHSR9ZN","2068","false","Module2","6",3000,2827.875,20,3000,"false",300,2700,10,"true","[objectObject]","[objectObject]",NA,"6","1489613998556","./data//room_1489612930406/memory_Module2_6.3.6.csv","room_1489612930406",6,TRUE,0,1,"23","F","3","B","0","B","AU9PME48Y7CI2DQAUK6R",0,0,0,0,1,1,1,1,1,1,2,1,1,3,3,2,2,1,1,1,0.1,"false",3,1,"Online Sync",1,6,17
"30","AU1GUFTK8EIBCQHSR9ZN","2926","false","Module2","7",3150,2985,21,3150,"false",315,2835,10,"true","[objectObject]","[objectObject]",NA,"7","1489614089868","./data//room_1489612930406/memory_Module2_6.3.7.csv","room_1489612930406",7,TRUE,0,1,"23","F","3","B","0","B","AU9PME48Y7CI2DQAUK6R",0,0,0,0,1,1,1,1,1,1,2,1,1,3,3,2,2,1,1,1,0.1,"false",3,1,"Online Sync",1,6,17
"31","AU1I24FYT6VKMGOUD0JR","4492","false","Module2","1",1200,1226.25,8,0,"false",0,1200,30,"true","[objectObject]","[objectObject]",NA,"1","1488027095458","./data//room_1488026546921/memory_Module2_6.3.1.csv","room_1488026546921",1,TRUE,1,0,"19","F","3","B","0","A","AUJR7QU261F84MT3OZ9E",0,0,0,0,0,0,1,1,1,1,3,4,2,4,3,3,3,1,3,2,0,"false",1,0,"Online Sync",2,4,28
"32","AU1I24FYT6VKMGOUD0JR","3138","false","Module2","10",1950,1965,13,0,"false",0,1950,30,"true","[objectObject]","[objectObject]",NA,"10","1488027834758","./data//room_1488026546921/memory_Module2_6.3.10.csv","room_1488026546921",10,TRUE,1,0,"19","F","3","B","0","A","AUJR7QU261F84MT3OZ9E",0,0,0,0,0,0,1,1,1,1,3,4,2,4,3,3,3,1,3,2,0,"false",1,0,"Online Sync",2,4,28
